#,Data,Área,Indicador,Valor atual,Meta,Status,Impacto,Comentário,Ação pendente,Prazo
41,mês 05/26,Op,Taxa de entrega no prazo,1590.7,1279.3,verde,medio,regulatório pode mudar em Q4,Contratar analista sênior pra área,04-11
42,May/2026,Financeiro,Fluxo de caixa mensal,3488.7,4308.3,Verde,medio,métrica não normalizada — comparação difícil,Preparar defesa da meta pro comitê,Q08 26
43,15/06/2026,Operacional,Produtividade por linha,2013.9,1877.7,Em atenção,Alto,meta pode estar defasada em relação ao mercado,Trazer dado externo pra benchmark,13-07
44,12/07/2026,Fin,Custo por unidade,1911.9,2143.3,Alerta,medio,meta pode estar defasada em relação ao mercado,Propor plano de recuperação de 90 dias,26/10/2026
45,mês 01/26,Fin,EBITDA,4177.6,4607.7,AMARELO,Médio,sinal fraco de reversão desde a última medição,Contratar analista sênior pra área,Q10 26
46,Apr/2026,Gestão de Pessoas,Turnover,1786.5,2025.2,ok,BAIXO,aparece nas últimas 3 reuniões de comitê,Redefinir cadência de análise,28/07/2026
47,Feb/2026,Marketing,Leads qualificados,2976.3,3547.5,Vermelho,BAIXO,diretoria quer entender causa raiz,Contratar analista sênior pra área,11-11
48,2026-01-19,Suprimentos,OTIF,3230.8,3124.6,VERMELHO,Alto,pode virar oportunidade se estruturado,Escalar pro comitê de Financeiro,Q08 26
49,mês 02/26,Financeiro,Margem operacional,2404.0,2002.1,Em atenção,ALTO,sinal fraco de reversão desde a última medição,Alinhar meta trimestral com direção,08-11
50,2026-03-06,Suprimentos,Concentração de fornecedor,1116.7,864.6,crítico,BAIXO,concorrência opera com número melhor,Alinhar meta trimestral com direção,
51,2026-03-05,Financeiro,Margem operacional,3460.9,2784.9,Amarelo,medio,meta pode estar defasada em relação ao mercado,Escalar pro comitê de Marketing,
52,mês 02/26,Pessoas,Absenteísmo,1426.6,1403.3,Verde,BAIXO,diretoria quer entender causa raiz,Escalar pro comitê de Suprimentos,Q08 26
53,Apr/2026,mkt digital,Custo por lead,4608.5,3687.2,Crítico,,gerente anterior deixou sem tratamento,Renegociar contrato com fornecedor principal,
54,16/05/2026,Finance,,3559.7,3502.7,ok,ALTO,auditoria vai voltar em 45 dias,Alinhar meta trimestral com direção,02/11/2026
55,mês 03/26,COM,CAC,3867.9,2875.5,Amarelo,,gerente anterior deixou sem tratamento,Contratar analista sênior pra área,
56,mês 06/26,Operações,Taxa de entrega no prazo,2170.3,2495.4,Em atenção,Médio,gerente anterior deixou sem tratamento,Renegociar contrato com fornecedor principal,
57,09/06/2026,,Margem operacional,3389.6,4154.9,Em atenção,,auditoria externa questionou na última visita,,Q08 26
58,Jul/2026,Comercial,Novos clientes,3882.5,4245.0,Vermelho,BAIXO,,Contratar analista sênior pra área,Q10 26
59,mês 07/26,comercial,Ticket médio,4624.9,5439.2,verde,Médio,auditoria externa questionou na última visita,,
60,2026-02-07,OPS,Taxa de entrega no prazo,3799.9,2677.7,OK,ALTO,área quer discutir a meta em revisão,,
61,2026-03-24,Operacional,Índice de retrabalho,4380.3,3072.3,Verde,Baixo,diretoria quer entender causa raiz,Alinhar meta trimestral com direção,08/2026
62,Apr/2026,FIN,DSO (dias),4714.3,5682.6,crítico,,diretoria quer entender causa raiz,Definir donos por indicador,Q06 26
63,mês 03/26,IT,Chamados abertos,1660.5,1443.0,em analise,Baixo,aguardando definição de budget,Renegociar contrato com fornecedor principal,22-07
64,2026-05-09,COM,Churn,4149.2,3296.6,Verde,Crítico,diretoria quer entender causa raiz,Reunião com fornecedor de sistema,08/06/2026
65,2026-04-28,r.h.,Tempo médio de contratação,1687.3,1560.0,verde,BAIXO,meta pode estar defasada em relação ao mercado,Investir em capacitação da equipe,07/06/2026
66,mês 07/26,Mkt,Custo por lead,4034.3,5021.5,crítico,Alto,risco de exposição em relatório trimestral,Trazer dado externo pra benchmark,
67,27/03/2026,comercial,Ticket médio,3198.9,3778.2,Em análise,Baixo,aparece nas últimas 3 reuniões de comitê,Rodar piloto de 30 dias em 1 filial,10-07
68,2026-05-24,OPS,Taxa de entrega no prazo,4748.0,5988.0,Amarelo,crít.,,Renegociar contrato com fornecedor principal,Q10 26
69,mês 03/26,sup.,OTIF,2147.1,1833.7,atenção,,diretoria quer entender causa raiz,Trazer dado externo pra benchmark,03/10/2026
70,mês 05/26,r.h.,Absenteísmo,3391.9,3947.2,Verde,Médio,compromisso assumido pela diretoria em Q3,Alinhar leitura com par de outra área,
71,2026-06-18,Com,Churn,1419.1,1030.2,ok,Alto,cliente já sinalizou insatisfação sobre isso,Automatizar coleta do dado,03-06
72,mês 01/26,IT,MTTR,1082.0,761.6,verde,,conselho pediu detalhe na reunião de novembro,Revisar processo de aprovação com Marketing,
73,mês 05/26,Pessoas,Tempo médio de contratação,1897.8,1385.0,Crítico,,,Contratar consultoria externa pra diagnóstico,29-06
74,Feb/2026,FIN,Fluxo de caixa mensal,4146.6,3719.2,Em análise,Baixo,impacto direto no P&L do próximo trimestre,Trazer dado externo pra benchmark,11/2026
75,mês 04/26,COM,Taxa de conversão,2017.4,1712.9,Amarelo,medio,sinal fraco de reversão desde a última medição,,12-09
76,06/03/2026,Financeiro,EBITDA,932.0,815.7,AMARELO,Crítico,aguardando definição de budget,Propor revisão do escopo do projeto,05/10/2026
77,2026-07-02,,DSO (dias),3520.9,4266.9,Em análise,ALTO,melhorou nos últimos 2 meses,Definir donos por indicador,06/10/2026
78,2026-03-18,Operacional,Produtividade por linha,2608.9,2029.8,AMARELO,,gerente anterior deixou sem tratamento,Reunião com fornecedor de reporting,
79,mês 03/26,r.h.,Turnover,1044.7,1285.2,Crítico,BAIXO,métrica não normalizada — comparação difícil,,06/2026
80,Jan/2026,Compras,OTIF,1920.1,2190.3,Amarelo,BAIXO,pode virar oportunidade se estruturado,Reunião com fornecedor de dashboard,
81,Apr/2026,Ops,,928.4,1037.3,Crítico,medio,aguardando definição de budget,,25/10/2026
82,Apr/2026,financeiro,EBITDA,2082.5,2398.2,crítico,Alto,gerente anterior deixou sem tratamento,Renegociar contrato com fornecedor principal,10-06
83,mês 04/26,Suprimentos,Ruptura de estoque,2303.2,1886.3,VERMELHO,,melhorou nos últimos 2 meses,Redefinir cadência de análise,26/08/2026
84,Jan/2026,supply chain,Prazo médio de entrega,1060.3,924.3,ok,crít.,auditoria externa questionou na última visita,Alinhar meta trimestral com direção,
85,16/05/2026,RH,Cobertura de treinamento,4800.4,3795.9,em analise,crít.,regulatório pode mudar em Q4,,Q09 26
86,mês 06/26,mkt digital,Leads qualificados,2873.9,3129.8,atenção,Baixo,vinculado a projeto estratégico em curso,Propor revisão do escopo do projeto,Q07 26
87,2026-07-13,comercial,Volume de vendas,1759.6,1289.4,verde,Médio,,Definir donos por indicador,30/09/2026
88,Feb/2026,Operações,Lead time,2128.8,1768.4,atenção,Médio,diretoria quer entender causa raiz,Automatizar coleta do dado,15-10
89,mês 06/26,RH,Absenteísmo,933.0,670.8,Amarelo,Baixo,diretoria quer entender causa raiz,Renegociar contrato com fornecedor principal,09/07/2026
90,14/02/2026,rh/pessoas,Aderência ao plano de desenvolvimento,2655.3,2226.4,Em atenção,Alto,envolve 3 áreas — precisa dono claro,Propor plano de recuperação de 90 dias,11-07
91,mês 03/26,sup.,Redução de custo,4937.5,4914.6,crítico,medio,compromisso assumido pela diretoria em Q3,Alinhar leitura com par de outra área,
92,mês 05/26,T.I.,Índice de vulnerabilidades,3009.8,3323.5,Verde,medio,meta pode estar defasada em relação ao mercado,Redefinir cadência de análise,20/10/2026
93,21/01/2026,Recursos Humanos,Aderência ao plano de desenvolvimento,1028.0,1095.6,OK,Alto,concorrência opera com número melhor,Investir em capacitação da equipe,
94,May/2026,Marketing,CAC digital,607.8,785.5,Amarelo,Alto,vinculado a projeto estratégico em curso,Reunião com fornecedor de orçamento,07/2026
95,14/05/2026,Vendas,Volume de vendas,4784.5,6055.2,ok,crít.,sinal fraco de reversão desde a última medição,Redefinir cadência de análise,08/07/2026
96,2026-03-05,Ops,Lead time,4945.1,4949.2,AMARELO,medio,,Automatizar coleta do dado,
97,2026-02-02,Compras,Concentração de fornecedor,124.5,157.7,Verde,,impacto direto no P&L do próximo trimestre,Escalar pro comitê de RH,04-08
98,15/02/2026,comercial,Ticket médio,937.1,1183.0,Amarelo,,conselho pediu detalhe na reunião de novembro,Rodar piloto de 30 dias em 1 filial,
99,2026-07-09,Sup,OTIF,2790.6,2204.8,Em análise,Médio,auditoria vai voltar em 45 dias,Renegociar contrato com fornecedor principal,27/08/2026
100,2026-05-30,mkt digital,Engajamento social,3852.9,3240.4,ok,Médio,pode virar oportunidade se estruturado,Automatizar coleta do dado,
101,Jul/2026,Fin,DSO (dias),1104.8,1178.0,ok,crít.,área quer discutir a meta em revisão,Contratar consultoria externa pra diagnóstico,27-07
102,mês 03/26,TI,Índice de vulnerabilidades,844.1,667.4,ok,Alto,depende de decisão da matriz,,09/06/2026
103,2026-01-28,Sup,OTIF,2858.5,3189.0,Em atenção,Alto,pode virar oportunidade se estruturado,Alinhar meta trimestral com direção,23/09/2026
104,2026-07-13,marketing,CAC digital,3323.8,3413.2,verde,BAIXO,vinculado a projeto estratégico em curso,Preparar defesa da meta pro comitê,
105,15/06/2026,OPS,Produtividade por linha,3542.4,2938.7,Vermelho,Baixo,melhorou nos últimos 2 meses,Redefinir cadência de análise,14-06
106,Mar/2026,Vendas/Com,Pipeline qualificado,2373.8,3031.9,verde,BAIXO,,Trazer dado externo pra benchmark,13/11/2026
107,05/07/2026,,Aderência SLA,537.0,627.4,Amarelo,,sinal fraco de reversão desde a última medição,Alinhar meta trimestral com direção,Q08 26
108,mês 01/26,Ops,Taxa de entrega no prazo,3033.3,3000.6,Verde,Baixo,aguardando definição de budget,Preparar defesa da meta pro comitê,Q09 26
109,mês 02/26,Operacional,Produtividade por linha,2045.5,1950.9,AMARELO,Crítico,sinal fraco de reversão desde a última medição,Contratar analista sênior pra área,07-06
110,18/03/2026,rh/pessoas,Absenteísmo,3648.2,3892.4,Vermelho,,diretoria quer entender causa raiz,Definir donos por indicador,08/2026
111,mês 04/26,Tecnologia,Chamados abertos,2587.9,3206.4,ok,medio,concorrência opera com número melhor,,09/2026
112,26/05/2026,,eNPS,1979.6,2518.4,AMARELO,BAIXO,depende de decisão da matriz,Reunião com fornecedor de contratos,09/2026
113,26/06/2026,OPS,Lead time,615.6,621.1,atenção,ALTO,vinculado a projeto estratégico em curso,Contratar analista sênior pra área,18-09
114,2026-07-09,ti,Aderência SLA,4373.6,4128.5,Verde,crít.,gerente anterior deixou sem tratamento,Rodar piloto de 30 dias em 1 filial,
115,Apr/2026,T.I.,Tempo de recuperação,1541.8,1633.7,AMARELO,Alto,métrica não normalizada — comparação difícil,Redefinir cadência de análise,26-10
116,Apr/2026,marketing,Alcance orgânico,912.7,771.1,verde,,,Renegociar contrato com fornecedor principal,09/11/2026
117,mês 05/26,Tecnologia da Informação,Uptime crítico,2440.2,2442.0,atenção,Baixo,métrica não normalizada — comparação difícil,Automatizar coleta do dado,Q06 26
118,29/05/2026,mkt digital,Custo por lead,2955.2,2265.9,Crítico,medio,melhorou nos últimos 2 meses,Alinhar leitura com par de outra área,
119,Jun/2026,Operacional,Índice de retrabalho,1567.7,1901.9,OK,Crítico,auditoria vai voltar em 45 dias,Renegociar contrato com fornecedor principal,Q10 26
120,mês 04/26,Suprimentos,Prazo médio de entrega,2330.1,2081.3,Vermelho,,auditoria vai voltar em 45 dias,Contratar consultoria externa pra diagnóstico,01/10/2026
121,mês 07/26,Ops,Refugo (%),1244.9,1166.8,Verde,,meta pode estar defasada em relação ao mercado,Propor plano de recuperação de 90 dias,
122,02/04/2026,rh/pessoas,Absenteísmo,4804.5,4305.8,Vermelho,Crítico,diretoria quer entender causa raiz,Contratar consultoria externa pra diagnóstico,18/06/2026
123,Jun/2026,supply chain,Nível de estoque,3417.4,3600.4,Vermelho,,sinal fraco de reversão desde a última medição,Redefinir cadência de análise,07/2026
124,May/2026,Controladoria/Fin,Fluxo de caixa mensal,1911.0,2224.9,em analise,medio,impacto direto no P&L do próximo trimestre,Investir em capacitação da equipe,10/2026
125,Jan/2026,SC,Ruptura de estoque,1688.7,1386.0,verde,,diretoria quer entender causa raiz,,18-09
126,04/05/2026,supply chain,Redução de custo,2210.8,2033.6,em analise,,conselho pediu detalhe na reunião de novembro,Trazer dado externo pra benchmark,13-06
127,mês 06/26,Com,Churn,1173.4,1457.0,AMARELO,,aguardando definição de budget,,20/07/2026
128,mês 02/26,Comercial,Volume de vendas,2536.0,2464.8,Alerta,Baixo,diretoria quer entender causa raiz,,08/2026
129,04/07/2026,Gestão de Pessoas,eNPS,3934.1,4106.9,em analise,Baixo,,,30/07/2026
130,2026-06-20,T.I.,Uptime crítico,3251.7,3544.7,Vermelho,BAIXO,cliente já sinalizou insatisfação sobre isso,Contratar consultoria externa pra diagnóstico,06/2026
131,2026-04-21,RH,Aderência ao plano de desenvolvimento,510.8,412.4,Vermelho,BAIXO,auditoria vai voltar em 45 dias,Escalar pro comitê de Financeiro,
132,2026-03-06,Compras,Ruptura de estoque,4549.5,5693.3,ok,,pode virar oportunidade se estruturado,Contratar analista sênior pra área,21-06
133,2026-07-04,Operações,Produtividade por linha,765.4,649.8,em analise,Crítico,compromisso assumido pela diretoria em Q3,Contratar analista sênior pra área,Q09 26
134,May/2026,COM,,4706.6,4690.6,AMARELO,medio,auditoria externa questionou na última visita,,08/2026
135,2026-05-12,RH,Tempo médio de contratação,2263.8,1983.0,em analise,ALTO,concorrência opera com número melhor,,08/2026
136,15/03/2026,Recursos Humanos,Aderência ao plano de desenvolvimento,3879.9,3115.7,ok,ALTO,diretoria quer entender causa raiz,Contratar consultoria externa pra diagnóstico,
137,23/06/2026,Op,Produtividade por linha,4055.4,4679.3,OK,medio,,,
138,2026-06-02,MKT,Engajamento social,3832.9,3000.3,Crítico,Alto,pode virar oportunidade se estruturado,Automatizar coleta do dado,
139,Jul/2026,Pessoas,eNPS,4920.3,3513.0,Em análise,,aguardando definição de budget,Contratar analista sênior pra área,Q08 26
140,Jun/2026,rh/pessoas,eNPS,3273.2,3186.3,ok,Alto,impacto direto no P&L do próximo trimestre,,31/10/2026
141,Jun/2026,mkt digital,Engajamento social,2793.7,2476.6,Amarelo,medio,compromisso assumido pela diretoria em Q3,Alinhar leitura com par de outra área,12/11/2026
142,22/03/2026,Mkt,CAC digital,1110.7,1392.5,Vermelho,Baixo,impacto direto no P&L do próximo trimestre,Rodar piloto de 30 dias em 1 filial,05-08
143,06/04/2026,marketing,Custo por lead,3583.8,2751.7,verde,ALTO,depende de decisão da matriz,Alinhar meta trimestral com direção,
144,2026-07-01,financeiro,DSO (dias),2380.8,2500.8,Alerta,Baixo,aparece nas últimas 3 reuniões de comitê,Redefinir cadência de análise,09/2026
145,23/04/2026,Recursos Humanos,Cobertura de treinamento,771.5,898.1,VERMELHO,medio,,Escalar pro comitê de Marketing,08/2026
146,mês 06/26,Suprimentos,Redução de custo,4528.3,4622.9,ok,medio,aguardando definição de budget,Automatizar coleta do dado,Q10 26
147,mês 06/26,operações,Índice de retrabalho,2279.9,1647.9,Alerta,Alto,pode virar oportunidade se estruturado,,18/08/2026
148,2026-03-16,Fin,EBITDA,2370.5,1874.6,Crítico,BAIXO,métrica não normalizada — comparação difícil,Revisar processo de aprovação com Marketing,Q06 26
149,11/07/2026,ti,Uptime crítico,1069.6,891.8,Vermelho,Alto,diretoria quer entender causa raiz,Preparar defesa da meta pro comitê,27-06
150,Feb/2026,Operacional,Produtividade por linha,306.8,218.9,Verde,ALTO,auditoria externa questionou na última visita,Contratar analista sênior pra área,Q07 26
151,Apr/2026,Finance,EBITDA,722.6,513.0,OK,,,Contratar analista sênior pra área,07/10/2026
152,May/2026,T.I.,Chamados abertos,67.7,50.2,Verde,,meta pode estar defasada em relação ao mercado,Definir donos por indicador,
153,Feb/2026,Ops,,4675.4,4337.5,Vermelho,medio,área quer discutir a meta em revisão,Contratar consultoria externa pra diagnóstico,Q10 26
154,Mar/2026,mkt digital,Custo por lead,1631.4,1886.4,crítico,Alto,auditoria externa questionou na última visita,Contratar consultoria externa pra diagnóstico,
155,mês 02/26,Vendas,Volume de vendas,3694.9,4443.6,Em atenção,Alto,concorrência opera com número melhor,Renegociar contrato com fornecedor principal,
156,mês 02/26,MKT,Alcance orgânico,2883.8,2876.8,crítico,crít.,aguardando definição de budget,Contratar consultoria externa pra diagnóstico,Q07 26
157,01/06/2026,T.I.,Aderência SLA,2492.0,3061.2,verde,crít.,aguardando definição de budget,Revisar processo de aprovação com Comercial,28-09
158,Mar/2026,T.I.,Aderência SLA,2422.8,2933.0,em analise,BAIXO,auditoria externa questionou na última visita,Alinhar leitura com par de outra área,Q08 26
159,mês 07/26,financeiro,DSO (dias),932.7,984.1,Em atenção,BAIXO,sinal fraco de reversão desde a última medição,Investir em capacitação da equipe,09/2026
160,14/05/2026,marketing,Custo por lead,2328.0,2506.2,VERMELHO,Alto,melhorou nos últimos 2 meses,Contratar analista sênior pra área,
161,mês 02/26,Operações,OEE,596.2,747.5,Alerta,Crítico,,Rodar piloto de 30 dias em 1 filial,10/2026
162,17/02/2026,r.h.,Absenteísmo,430.9,308.3,verde,Médio,,,Q06 26
163,mês 02/26,COM,Taxa de conversão,2522.6,2146.1,VERMELHO,medio,auditoria externa questionou na última visita,,16-08
164,19/06/2026,Sup,Ruptura de estoque,4978.5,5872.3,VERMELHO,Baixo,impacto direto no P&L do próximo trimestre,,06/2026
165,mês 03/26,COM,Churn,2527.7,2921.2,Crítico,,conselho pediu detalhe na reunião de novembro,Renegociar contrato com fornecedor principal,09/2026
166,Jul/2026,ti,Aderência SLA,4367.8,3548.4,AMARELO,crít.,concorrência opera com número melhor,Reunião com fornecedor de auditoria,02/10/2026
167,mês 06/26,sup.,Ruptura de estoque,4406.5,3713.4,OK,,depende de decisão da matriz,,02/11/2026
168,mês 04/26,Operacional,OEE,2571.0,1844.9,AMARELO,,compromisso assumido pela diretoria em Q3,Preparar defesa da meta pro comitê,11/2026
169,25/06/2026,Recursos Humanos,Cobertura de treinamento,1785.3,1596.8,Alerta,Baixo,sinal fraco de reversão desde a última medição,Preparar defesa da meta pro comitê,
170,15/03/2026,Vendas/Com,Pipeline qualificado,4677.5,5795.7,Em atenção,Médio,regulatório pode mudar em Q4,Escalar pro comitê de Marketing,06/2026
171,mês 05/26,T.I.,Tempo de recuperação,1336.1,1371.7,Em atenção,,gerente anterior deixou sem tratamento,Escalar pro comitê de Financeiro,Q09 26
172,2026-03-27,,Nível de estoque,597.9,433.4,verde,,gerente anterior deixou sem tratamento,Alinhar leitura com par de outra área,01/07/2026
173,mês 03/26,MKT,ROI campanhas,1466.3,1825.9,Em análise,ALTO,aparece nas últimas 3 reuniões de comitê,Redefinir cadência de análise,Q09 26
174,04/07/2026,Com,Taxa de conversão,4831.5,4477.9,Verde,,gerente anterior deixou sem tratamento,Contratar analista sênior pra área,11/11/2026
175,Feb/2026,Fin,Custo por unidade,4689.5,4014.4,ok,BAIXO,conselho pediu detalhe na reunião de novembro,Redefinir cadência de análise,07/2026
176,2026-02-08,sup.,Concentração de fornecedor,3407.6,4392.1,verde,Crítico,gerente anterior deixou sem tratamento,Redefinir cadência de análise,21/08/2026
177,23/05/2026,Vendas/Com,Novos clientes,421.1,463.2,verde,ALTO,,Investir em capacitação da equipe,
178,mês 03/26,Op,Índice de retrabalho,2724.4,3407.6,OK,ALTO,cliente já sinalizou insatisfação sobre isso,Contratar consultoria externa pra diagnóstico,01/09/2026
179,mês 07/26,Compras,Ruptura de estoque,346.4,271.5,em analise,Médio,risco de exposição em relatório trimestral,,04-11
180,mês 06/26,Fin,DSO (dias),2253.2,2265.5,AMARELO,,aguardando definição de budget,Definir donos por indicador,30-10
181,Apr/2026,,Produtividade por linha,3494.6,3561.9,Em atenção,Crítico,regulatório pode mudar em Q4,Alinhar meta trimestral com direção,04-09
182,13/07/2026,Recursos Humanos,Absenteísmo,4528.4,4511.3,atenção,Alto,,Investir em capacitação da equipe,Q09 26
183,Feb/2026,mkt digital,Engajamento social,1663.5,1951.1,Amarelo,Alto,métrica não normalizada — comparação difícil,,29-08
184,28/06/2026,Finance,Margem operacional,4686.1,4628.0,Em análise,Médio,,Redefinir cadência de análise,18-08
185,2026-02-10,T.I.,Uptime crítico,4940.9,6158.6,Alerta,Alto,vinculado a projeto estratégico em curso,Escalar pro comitê de RH,Q07 26
186,mês 07/26,Pessoas,Tempo médio de contratação,4703.4,3869.5,Em análise,Baixo,,Definir donos por indicador,Q06 26
187,Jul/2026,marketing,CAC digital,4693.8,4960.6,atenção,Baixo,gerente anterior deixou sem tratamento,Alinhar meta trimestral com direção,Q10 26
188,Feb/2026,Operacional,Lead time,4545.9,4310.9,AMARELO,,gerente anterior deixou sem tratamento,Trazer dado externo pra benchmark,Q06 26
189,mês 03/26,Comercial,Churn,871.2,722.9,Amarelo,Médio,aguardando definição de budget,Propor revisão do escopo do projeto,
190,mês 06/26,Compras,Redução de custo,440.7,342.5,Amarelo,Crítico,regulatório pode mudar em Q4,,28/08/2026
191,24/01/2026,supply chain,Concentração de fornecedor,2118.5,2544.7,Alerta,crít.,pode virar oportunidade se estruturado,Reunião com fornecedor de BI,09/2026
192,,,,,,,,,,
193,Jul/2026,Op,Taxa de entrega no prazo,4034.9,4356.2,em analise,ALTO,vinculado a projeto estratégico em curso,,14/08/2026
194,Apr/2026,Recursos Humanos,Aderência ao plano de desenvolvimento,857.4,692.9,Alerta,medio,impacto direto no P&L do próximo trimestre,,02/09/2026
195,2026-05-16,operacoes,Taxa de entrega no prazo,1447.7,1745.8,em analise,Médio,métrica não normalizada — comparação difícil,,20/08/2026
